Theme (EN),Theme (Kabutan),TSE 17-Sector,TSE 33-Sector,Symbol,Company Name (EN),Name (Kabutan),Market (EN),Market (Kabutan)
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Air Transportation,9202,ANA HOLDINGS INC.,ＡＮＡＨＤ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Air Transportation,9202,ANA HOLDINGS INC. (shares of preferred stock),ＡＮＡＨＤ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6030,"Adventure,Inc.",アドベンチャ,TSE Growth,東Ｇ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6191,AirTrip Corp.,エアトリ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6577,"Bestone.Com Co.,Ltd",ベストワン,TSE Growth,東Ｇ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9022,Central Japan Railway Company,ＪＲ東海,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9376,"EURASIA TRAVEL Co.,Ltd.",ユーラシア,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9020,East Japan Railway Company,ＪＲ東日本,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Information & Communication,3646,"Ekitan & Co.,Ltd.",駅探,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9010,"FUJI KYUKO CO.,LTD.",富士急,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9603,"H.I.S.Co.,Ltd.",ＨＩＳ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9720,"HOTEL NEWGRAND CO.,LTD.",グランド,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9708,"Imperial Hotel,Ltd.",帝ホテル,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Air Transportation,9201,"Japan Airlines Co.,Ltd.",ＪＡＬ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9726,"KNT-CT Holdings Co.,Ltd.",ＫＮＴＣＴ,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,FOODS,Foods,2222,"Kotobuki Spirits Co.,Ltd.",寿スピリッツ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,4661,"ORIENTAL LAND CO.,LTD.",ＯＬＣ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Information & Communication,3926,Open Door Inc.,オープンドア,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,8136,"Sanrio Company,Ltd.",サンリオ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6548,TABIKOBO Co.Ltd.,旅工房,TSE Growth,東Ｇ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9723,"THE KYOTO HOTEL,LTD.",京都ホ,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9713,"THE ROYAL HOTEL,LIMITED",ロイヤルホ,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,8225,"Takachiho Co.,Ltd.",タカチホ,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9021,West Japan Railway Company,ＪＲ西日本,TSE Prime,東Ｐ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,8219,"AOYAMA TRADING Co.,Ltd.",青山商,TSE Prime,東Ｐ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,2666,"AUTOWAVE Co.,Ltd.",オートＷ,TSE Standard,東Ｓ
100-Yen Shops (Dollar Stores),100円ショップ,"IT & SERVICES, OTHERS",Other Products,7800,"Amifa Co.,Ltd.",アミファ,TSE Standard,東Ｓ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,2698,"CAN DO CO.,LTD.",キャンドゥ,TSE Standard,東Ｓ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,3190,"HOTMAN Co.,Ltd.",ホットマン,TSE Standard,東Ｓ
100-Yen Shops (Dollar Stores),100円ショップ,RAW MATERIALS & CHEMICALS,Chemicals,7874,"LEC,INC.",レック,TSE Prime,東Ｐ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,2782,"Seria Co.,Ltd.",セリア,TSE Standard,東Ｓ
100-Yen Shops (Dollar Stores),100円ショップ,RETAIL TRADE,Retail Trade,2735,"WATTS CO.,LTD.",ワッツ,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4356,"APPLIED TECHNOLOGY CO.,LTD.",応用技術,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,3969,ATLED CORP.,エイトレッド,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,5254,Arent Inc.,Ａｒｅｎｔ,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,5597,"Blue innovation Co.,Ltd.",ブルーイノベ,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Services,4345,"CTS Co.,Ltd.",ＣＴＳ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4371,Core Concept Technologies Inc.,ＣＣＴ,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,MACHINERY,Machinery,6383,"DAIFUKU CO.,LTD.",ダイフク,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6814,"FURUNO ELECTRIC CO.,LTD.",古野電,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6702,Fujitsu Limited,富士通,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,9790,"Fukui Computer Holdings,Inc.",福井コン,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Services,2492,Infomart Corporation,インフォＭＴ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,TRANSPORTATION & LOGISTICS,Warehousing and Harbor Transportation,9326,"KANTSU CO.,LTD.",関通ＨＤ,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,RAW MATERIALS & CHEMICALS,Chemicals,7908,"KIMOTO CO.,LTD.",ＫＩＭＯＴＯ,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,208A,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.,構造計画ＨＤ,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4391,"Logizard Co.,Ltd.",ロジザード,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7105,"Mitsubishi Logisnext Co.,Ltd.",ロジスネクス,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,7435,"NADEX CO.,LTD.",ナ・デックス,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6701,NEC Corporation,ＮＥＣ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Services,9699,"NISHIO HOLDINGS CO.,LTD.",ニシオＨＤ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,3694,OPTiM CORPORATION,オプティム,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6752,Panasonic Holdings Corporation,パナＨＤ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4384,RAKSUL INC.,ラクスル,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,7752,"RICOH COMPANY,LTD.",リコー,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4375,Safie Inc.,セーフィー,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,MACHINERY,Machinery,6144,"Seibu Electric & Machinery Co.,Ltd.",西部電機,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,5137,SmartDrive inc.,スマートＤ,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4192,SpiderPlus & Co.,スパイダー,TSE Growth,東Ｇ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Services,9644,"TANABE CONSULTING GROUP CO.,LTD.",タナベＣＧ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4746,"Toukei Computer Co.,Ltd.",東計電算,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Services,7065,UPR Corporation,ｕｐｒ,TSE Standard,東Ｓ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4825,WEATHERNEWS INC.,ＷＮＩウェザ,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6727,"Wacom Co.,Ltd.",ワコム,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4432,WingArc1st Inc.,ウイングアク,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,9474,"ZENRIN CO.,LTD.",ゼンリン,TSE Prime,東Ｐ
2024 Problem (Logistics/Trucking Reform),2024年問題,"IT & SERVICES, OTHERS",Information & Communication,4428,sinops Inc.,シノプス,TSE Growth,東Ｇ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,8267,"AEON CO.,LTD.",イオン,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,2791,"DAIKOKUTENBUSSAN CO.,LTD.",大黒天,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,REAL ESTATE,Real Estate,3469,"Dualtap Co.,Ltd.",デュアルＴ,TSE Standard,東Ｓ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,2742,"HALOWS CO.,LTD.",ハローズ,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,"IT & SERVICES, OTHERS",Services,7031,Inbound Tech Inc.,インバウＴ,TSE Growth,東Ｇ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,3065,"Life Foods Co.,Ltd.",ライフフーズ,TSE Standard,東Ｓ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,3088,MatsukiyoCocokara & Co.,マツキヨココ,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,REAL ESTATE,Real Estate,4666,"PARK24 Co.,Ltd.",パーク２４,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,7532,Pan Pacific International Holdings Corporation,パンパシＨＤ,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,3382,"Seven & i Holdings Co.,Ltd.",セブン＆アイ,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,"IT & SERVICES, OTHERS",Services,6086,"Shin Maint Holdings Co.,Ltd.",シンメンテ,TSE Growth,東Ｇ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,141A,"TRIAL Holdings,Inc.",トライアル,TSE Growth,東Ｇ
24-Hour Operation,24時間営業,"IT & SERVICES, OTHERS",Services,6537,"WASHHOUSE CO.,LTD.",ＷＡＳＨハウ,TSE Growth,東Ｇ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,7550,"ZENSHO HOLDINGS CO.,LTD.",ゼンショＨＤ,TSE Prime,東Ｐ
24-Hour Operation,24時間営業,RETAIL TRADE,Retail Trade,7550,"ZENSHO HOLDINGS CO.,LTD. (shares of preferred stock)",ゼンショＨＤ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,4401,ADEKA CORPORATION,ＡＤＥＫＡ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,9972,"ALTECH CO.,LTD.",アルテック,TSE Standard,東Ｓ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Services,9340,"ASO INTERNATIONAL,INC.",アソインター,TSE Standard,東Ｓ
3D Printers,3Dプリンター,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7409,"AeroEdge Co.,Ltd",エアロエッジ,TSE Growth,東Ｇ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Other Products,7804,"B&P Co.,Ltd.",Ｂ＆Ｐ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,7751,CANON INC.,キヤノン,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6633,CGS HOLDINGS INC.,ＣＧＳＨＤ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,4240,"CLUSTER TECHNOLOGY CO.,LTD.",クラスター,TSE Standard,東Ｓ
3D Printers,3Dプリンター,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,8060,Canon Marketing Japan Inc.,キヤノンＭＪ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,PHARMACEUTICAL,Pharmaceutical,4892,Cyfuse Biomedical K.K.,サイフューズ,TSE Growth,東Ｇ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,4631,DIC Corporation,ＤＩＣ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6141,"DMG MORI CO.,LTD.",ＤＭＧ森精機,TSE Prime,東Ｐ
3D Printers,3Dプリンター,STEEL & NONFERROUS METALS,Iron and Steel,5471,"Daido Steel Co.,Ltd.",大同特鋼,TSE Prime,東Ｐ
3D Printers,3Dプリンター,STEEL & NONFERROUS METALS,Nonferrous Metals,5801,"Furukawa Electric Co.,Ltd.",古河電,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,4229,"Gun Ei Chemical Industry Co.,Ltd.",群栄化,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6433,"HEPHAIST CO.,LTD.",ヒーハイスト,TSE Standard,東Ｓ
3D Printers,3Dプリンター,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7267,"HONDA MOTOR CO.,LTD.",ホンダ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Precision Instruments,7741,HOYA CORPORATION,ＨＯＹＡ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,7637,"Hakudo Co.,Ltd.",白銅,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,7013,IHI Corporation,ＩＨＩ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Other Products,7814,"JAPAN Creative Platform Group Co.,Ltd.",日本創発Ｇ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Information & Communication,9889,JBCC Holdings Inc.,ＪＢＣＣＨＤ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6951,JEOL Ltd.,日電子,TSE Prime,東Ｐ
3D Printers,3Dプリンター,STEEL & NONFERROUS METALS,Nonferrous Metals,5704,JMC Corporation,ＪＭＣ,TSE Growth,東Ｇ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6861,KEYENCE CORPORATION,キーエンス,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,7908,"KIMOTO CO.,LTD.",ＫＩＭＯＴＯ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,STEEL & NONFERROUS METALS,Iron and Steel,5603,KOGI CORPORATION,虹技,TSE Standard,東Ｓ
3D Printers,3Dプリンター,MACHINERY,Machinery,6301,KOMATSU LTD.,コマツ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7012,"Kawasaki Heavy Industries,Ltd.",川重,TSE Prime,東Ｐ
3D Printers,3Dプリンター,CONSTRUCTION & MATERIALS,Construction,1431,"Lib Work Co.,Ltd.",リブワーク,TSE Growth,東Ｇ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6638,"MIMAKI ENGINEERING CO.,LTD.",ミマキエンジ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7220,"MUSASHI SEIMITSU INDUSTRY CO.,LTD.",武蔵精密,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,7999,"MUTOH HOLDINGS CO.,LTD.",ＭＵＴＯＨ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,8002,Marubeni Corporation,丸紅,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6503,Mitsubishi Electric Corporation,三菱電,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,7011,"Mitsubishi Heavy Industries,Ltd.",三菱重,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Precision Instruments,7731,NIKON CORPORATION,ニコン,TSE Prime,東Ｐ
3D Printers,3Dプリンター,STEEL & NONFERROUS METALS,Iron and Steel,5609,NIPPON CHUZO K.K.,日鋳造,TSE Standard,東Ｓ
3D Printers,3Dプリンター,AUTOMOBILES & TRANSPORTATION EQUIPMENT,Transportation Equipment,7201,"NISSAN MOTOR CO.,LTD.",日産自,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6268,Nabtesco Corporation,ナブテスコ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6894,"PULSTEC INDUSTRIAL CO.,LTD.",パルステック,TSE Standard,東Ｓ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6752,Panasonic Holdings Corporation,パナＨＤ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,7752,"RICOH COMPANY,LTD.",リコー,TSE Prime,東Ｐ
3D Printers,3Dプリンター,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,8226,RIKEI CORPORATION,理経,TSE Standard,東Ｓ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,7888,SANKO GOSEI LTD.,三光合成,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6724,SEIKO EPSON CORPORATION,エプソン,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6104,"SHIBAURA MACHINE CO.,LTD.",芝浦機,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6340,SHIBUYA CORPORATION,渋谷工,TSE Prime,東Ｐ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Services,5871,SOLIZE Holdings Corporation,ＳＯＬＩＺＥ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6869,SYSMEX CORPORATION,シスメックス,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6339,"Sintokogio,Ltd.",新東工,TSE Prime,東Ｐ
3D Printers,3Dプリンター,MACHINERY,Machinery,6143,"Sodick Co.,Ltd.",ソディック,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Textiles and Apparels,3401,TEIJIN LIMITED,帝人,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Chemicals,4635,"TOKYO PRINTING INK MFG.CO.,LTD.",東インキ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Textiles and Apparels,3402,"TORAY INDUSTRIES,INC.",東レ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,RAW MATERIALS & CHEMICALS,Textiles and Apparels,3103,UNITIKA LTD.,ユニチカ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,"IT & SERVICES, OTHERS",Services,6091,Wesco Holdings Inc.,ウエスコＨＤ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,RETAIL TRADE,Retail Trade,9831,"YAMADA HOLDINGS CO.,LTD.",ヤマダＨＤ,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6947,ZUKEN INC.,図研,TSE Prime,東Ｐ
3D Printers,3Dプリンター,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6777,santec Holdings Corporation,ｓａｎｔｅｃ,TSE Standard,東Ｓ
3D Printers,3Dプリンター,,,6142,,富士精,NSE Next (Nagoya),名Ｍ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,4667,"AISAN TECHNOLOGY CO.,LTD.",アイサンテク,TSE Standard,東Ｓ
3D Video / Display,3D映像,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,9972,"ALTECH CO.,LTD.",アルテック,TSE Standard,東Ｓ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Services,4301,AMUSE INC.,アミューズ,TSE Prime,東Ｐ
3D Video / Display,3D映像,RAW MATERIALS & CHEMICALS,Chemicals,5208,"Arisawa Mfg.Co.,Ltd.",有沢製,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Services,2438,"Asukanet Company,Limited",アスカネット,TSE Growth,東Ｇ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Other Products,7832,Bandai Namco Holdings Inc.,バンナムＨＤ,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,9697,"CAPCOM CO.,LTD.",カプコン,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,3663,"CELSYS,Inc.",セルシス,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,3652,Digital Media Professionals Inc.,ＤＭＰ,TSE Growth,東Ｇ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,4676,"FUJI MEDIA HOLDINGS,INC.",フジＨＤ,TSE Prime,東Ｐ
3D Video / Display,3D映像,RAW MATERIALS & CHEMICALS,Chemicals,4901,FUJIFILM Holdings Corporation,富士フイルム,TSE Prime,東Ｐ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6702,Fujitsu Limited,富士通,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Services,378A,"Hit Co.,Ltd.",ヒット,TSE Growth,東Ｇ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6501,"Hitachi,Ltd.",日立,TSE Prime,東Ｐ
3D Video / Display,3D映像,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,2667,"ImageONE Co.,Ltd.",イメージワン,TSE Standard,東Ｓ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Services,6055,"JAPAN MATERIAL Co.,Ltd.",Ｊマテリアル,TSE Prime,東Ｐ
3D Video / Display,3D映像,STEEL & NONFERROUS METALS,Nonferrous Metals,5704,JMC Corporation,ＪＭＣ,TSE Growth,東Ｇ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6632,JVCKENWOOD Corporation,ＪＶＣケンウ,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,9766,KONAMI GROUP CORPORATION,コナミＧ,TSE Prime,東Ｐ
3D Video / Display,3D映像,PHARMACEUTICAL,Pharmaceutical,4596,"Kubota Pharmaceutical Holdings Co.,Ltd.",窪田製薬ＨＤ,TSE Growth,東Ｇ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6867,LEADER ELECTRONICS CORPORATION,リーダー電子,TSE Standard,東Ｓ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6875,MegaChips Corporation,メガチップス,TSE Prime,東Ｐ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6503,Mitsubishi Electric Corporation,三菱電,TSE Prime,東Ｐ
3D Video / Display,3D映像,"IT & SERVICES, OTHERS",Information & Communication,3653,"Morpho,Inc.",モルフォ,TSE Growth,東Ｇ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Electric Appliances,6701,NEC Corporation,ＮＥＣ,TSE Prime,東Ｐ
3D Video / Display,3D映像,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,Precision Instruments,7731,NIKON CORPORATION,ニコン,TSE Prime,東Ｐ
