Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
20MICRONS.NS,XNSE,METALS & MINING,Industrial Minerals,Industrial Minerals Companies,20MICRONS,primary_local,INE144J01027,20 Microns,20 Microns Limited
21STCENMGM.NS,XNSE,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Other Capital Market related Services Companies,21STCENMGM,primary_local,INE253B01015,21st Cent. Mgmt.,21st Century Management Services Limited
360ONE.NS,XNSE,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Stockbroking & Allied Companies,360ONE,primary_local,INE466L01038,360 ONE,360 ONE WAM LIMITED
3BBLACKBIO.NS,XNSE,Healthcare Segments,Hospitals,Healthcare Service Provider Companies,532067,bse_code,INE994E01018,3B Blackbio,3B Blackbio Dx Limited
3IINFOLTD.NS,XNSE,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,3IINFOLTD,primary_local,INE748C01038,3i Infotech Limited,3i Infotech Limited
3MINDIA.NS,XNSE,DIVERSIFIED & TRADING,Diversified Conglomerates,Diversified Companies,3MINDIA,primary_local,INE470A01017,3M India,3M India Limited
3PLAND.NS,XNSE,Real Estate Segments,Commercial & Diversified,Real Estate Companies,3PLAND,primary_local,INE105C01023,3P Land Holdings Limited,3P Land Holdings Limited
500002.BO,XBOM,POWER INFRA & ELECTRICALS,Transformers & Switchgears,Heavy Electrical Equipment Companies,ABB,primary_local,INE117A01022,A B B,ABB India Limited
500003.BO,XBOM,"ENERGY, OIL & GAS",Gas Utilities,Trading - Gas Companies,AEGISLOG,primary_local,INE208C01025,Aegis Logistics,Aegis Logistics Limited
500008.BO,XBOM,"ENERGY, OIL & GAS",Smart Energy Storage,Auto Components & Equipments Companies,ARE&M,primary_local,INE885A01032,Amara Raja Ener.,Amara Raja Energy & Mobility Limited
500013.BO,XBOM,Real Estate Segments,Commercial & Diversified,Real Estate Companies,ANSALAPI,bse_security_id,INE436A01026,Ansal Properties & Infrastructure Limited,Ansal Properties & Infrastructure Ltd.
500014.BO,XBOM,METALS & MINING,Copper & Specialty Metallurgy,Precious Metals Companies,500014,primary_local,INE096A01010,Utique Enterp.,UTIQUE ENTERPRISES LIMITED
500020.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,BOMDYEING,primary_local,INE032A01023,Bombay Dyeing,Bombay Dyeing & Mfg Company Limited
500023.BO,XBOM,TRAVEL & HOSPITALITY,Premium Hotels & Resorts,Hotels & Resorts Companies,ASIANHOTNR,primary_local,INE363A01022,Asian Hotels (N),Asian Hotels (North) Limited
500027.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,ATUL,primary_local,INE100A01010,Atul,Atul Limited
500031.BO,XBOM,Consumer Durables,Household White Goods,Household Appliances Companies,BAJAJELEC,primary_local,INE193E01025,Bajaj Electrical,Bajaj Electricals Limited
500032.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,BAJAJHIND,primary_local,INE306A01021,Bajaj Hindusthan,Bajaj Hindusthan Sugar Limited
500033.BO,XBOM,AUTOMOTIVE (STOCKS),Passenger Cars,Passenger Cars & Utility Vehicles Companies,FORCEMOT,primary_local,INE451A01017,Force Motors,FORCE MOTORS LTD
500034.BO,XBOM,BANKING & FINANCIAL SERVICES,NBFC,Non Banking Financial Company (NBFC) Companies,BAJFINANCE,primary_local,INE296A01032,Bajaj Finance,Bajaj Finance Limited
500038.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,BALRAMCHIN,primary_local,INE119A01028,Balrampur Chini,Balrampur Chini Mills Limited
500039.BO,XBOM,AUTOMOTIVE COMPONENTS,Chassis & Metal Parts,Auto Components & Equipments Companies,BANCOINDIA,primary_local,INE213C01025,Banco Products (I) Limited,Banco Products (I) Limited
500040.BO,XBOM,PROFESSIONAL SERVICES,Stationery & Paper,Paper & Paper Products Companies,ABREL,primary_local,INE055A01016,A B Real Estate,Aditya Birla Real Estate Limited
500041.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,BANARISUG,primary_local,INE459A01010,Bannari Amm.Sug.,Bannari Amman Sugars Limited
500042.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,BASF,primary_local,INE373A01013,BASF India,BASF India Limited
500043.BO,XBOM,Lifestyle & Retail,Footwear & Leather,Footwear Companies,BATAINDIA,primary_local,INE176A01028,Bata India,Bata India Limited
500048.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Railways,Construction Vehicles Companies,BEML,primary_local,INE258A01024,BEML Ltd,BEML Limited
500049.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Aerospace & Defense OEM,Aerospace & Defense Companies,BEL,primary_local,INE263A01024,Bharat Electron,Bharat Electronics Limited
500052.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,BEPL,primary_local,INE922A01025,Bhansali Engineering Polymers Limited,Bhansali Engineering Polymers Limited
500058.BO,XBOM,METALS & MINING,Sponge & Ferro Alloys,Sponge Iron Companies,500058,primary_local,INE819C01011,Bihar Sponge,Bihar Sponge Iron Ltd
500059.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Holding Company Companies,BILVYAPAR,bse_security_id,INE071A01013,BIL Vyapar,BIL VYAPAR LIMITED
500060.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom & Network Infra,Telecom -  Equipment & Accessories Companies,BIRLACABLE,primary_local,INE800A01015,Birla Cable,Birla Cable Limited
500067.BO,XBOM,Consumer Durables,Household White Goods,Household Appliances Companies,BLUESTARCO,primary_local,INE472A01039,Blue Star,Blue Star Limited
500069.BO,XBOM,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Other Capital Market related Services Companies,500069,primary_local,INE418C01012,Quest Capital,QUEST CAPITAL MARKETS LIMITED
500074.BO,XBOM,Consumer Durables,Consumer Electronics,Consumer Electronics Companies,BPL,primary_local,INE110A01019,BPL,BPL Limited
500078.BO,XBOM,FMCG CLUSTERS,Household & Personal Care,Personal Care Companies,OAL,primary_local,INE959C01023,Oriental Aromatics Limited,Oriental Aromatics Limited
500083.BO,XBOM,METALS & MINING,Copper & Specialty Metallurgy,"Aluminium, Copper & Zinc Products Companies",CENTEXT,primary_local,INE281A01026,Century Extrus.,Century Extrusions Limited
500084.BO,XBOM,"ENERGY, OIL & GAS",Integrated Utilities,Integrated Power Utilities Companies,CESC,primary_local,INE486A01021,CESC,CESC Limited
500085.BO,XBOM,Agri Business,Fertilizers,Fertilizers Companies,CHAMBLFERT,primary_local,INE085A01013,Chambal Fert.,Chambal Fertilizers & Chemicals Limited
500086.BO,XBOM,AUTOMOTIVE COMPONENTS,Batteries & EV,Auto Components & Equipments Companies,EXIDEIND,primary_local,INE302A01020,Exide Inds.,Exide Industries Limited
500087.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,CIPLA,primary_local,INE059A01026,Cipla,Cipla Limited
500089.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Printing Inks Companies,DICIND,primary_local,INE303A01010,DIC India,DIC India Limited
500092.BO,XBOM,BANKING & FINANCIAL SERVICES,PSU Infra Finance,Other Financial Services Companies,CRISIL,primary_local,INE007A01025,CRISIL,CRISIL Limited
500093.BO,XBOM,POWER INFRA & ELECTRICALS,Transformers & Switchgears,Heavy Electrical Equipment Companies,CGPOWER,primary_local,INE067A01029,CG Power & Ind,CG Power and Industrial Solutions Limited
500096.BO,XBOM,FMCG CLUSTERS,Household & Personal Care,Personal Care Companies,DABUR,primary_local,INE016A01026,Dabur India,Dabur India Limited
500097.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,DALMIASUG,primary_local,INE495A01022,Dalmia Bharat,Dalmia Bharat Sugar and Industries Limited
500101.BO,XBOM,Lifestyle & Retail,Premium & Branded Apparel,Garments & Apparels Companies,ARVIND,primary_local,INE034A01011,Arvind Ltd,Arvind Limited
500103.BO,XBOM,ENGINEERING & MANUFACTURING,Heavy Electrical Equip,Heavy Electrical Equipment Companies,BHEL,primary_local,INE257A01026,B H E L,Bharat Heavy Electricals Limited
500104.BO,XBOM,"ENERGY, OIL & GAS",Oil Refiners,Refineries & Marketing Companies,HINDPETRO,primary_local,INE094A01015,H P C L,Hindustan Petroleum Corporation Limited
500106.BO,XBOM,BANKING & FINANCIAL SERVICES,Financial Institutions,Financial Institution Companies,IFCI,primary_local,INE039A01010,IFCI,IFCI Limited
500108.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom Operators,Telecom - Cellular & Fixed line services Companies,MTNL,primary_local,INE153A01019,M T N L,Mahanagar Telephone Nigam Limited
500109.BO,XBOM,"ENERGY, OIL & GAS",Oil Refiners,Refineries & Marketing Companies,MRPL,primary_local,INE103A01014,M R P L,Mangalore Refinery and Petrochemicals Limited
500110.BO,XBOM,"ENERGY, OIL & GAS",Oil Refiners,Refineries & Marketing Companies,CHENNPETRO,primary_local,INE178A01016,C P C L,Chennai Petroleum Corporation Limited
500112.BO,XBOM,BANKING & FINANCIAL SERVICES,Public Sector Bank,Public Sector Bank Companies,SBIN,primary_local,INE062A01020,SBI,State Bank of India
500113.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,SAIL,primary_local,INE114A01011,S A I L,Steel Authority of India Limited
500114.BO,XBOM,Lifestyle & Retail,Jewellery,"Gems, Jewellery And Watches Companies",TITAN,primary_local,INE280A01028,Titan Company,Titan Company Limited
500116.BO,XBOM,BANKING & FINANCIAL SERVICES,Private Sector Bank,Private Sector Bank Companies,IDBI,primary_local,INE008A01015,IDBI Bank,IDBI Bank Limited
500117.BO,XBOM,CHEMICALS & POLYMERS,Alkali Chemicals,Petrochemicals Companies,DCW,primary_local,INE500A01029,DCW,DCW Limited
500119.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,DHAMPURSUG,primary_local,INE041A01016,Dhampur Sugar,Dhampur Sugar Mills Limited
500120.BO,XBOM,CHEMICALS & POLYMERS,Polymers,Petrochemicals Companies,DIAMINESQ,primary_local,INE591D01014,Diamines & Chemicals Limited,Diamines & Chemicals Limited
500123.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,500123,bse_code,INE280B01018,Elantas Beck,Elantas Beck India Limited
500124.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,DRREDDY,primary_local,INE089A01031,Dr Reddy's Labs,Dr. Reddy's Laboratories Limited
500125.BO,XBOM,Food & Beverages,Packaged & Processed Foods,Other Food Products Companies,EIDPARRY,primary_local,INE126A01031,EID Parry,EID Parry India Limited
500126.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,PGHL,primary_local,INE199A01012,Procter & Gamble Health Limited,Procter & Gamble Health Limited
500128.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,ELECTCAST,primary_local,INE086A01029,Electrost.Cast.,Electrosteel Castings Limited
500133.BO,XBOM,ENGINEERING & MANUFACTURING,Welding & Cryogenics,Other Industrial Products Companies,ESABINDIA,primary_local,INE284A01012,Esab India,Esab India Limited
500135.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Packaging Companies,EPL,primary_local,INE255A01020,EPL Ltd,EPL Limited
500136.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Packaging Companies,ESTER,primary_local,INE778B01029,Ester Industries,Ester Industries Limited
500144.BO,XBOM,POWER INFRA & ELECTRICALS,Cables & Electricals,Cables - Electricals Companies,FINCABLES,primary_local,INE235A01022,Finolex Cables,Finolex Cables Limited
500147.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Products,Industrial Products Companies,500147,bse_code,INE515A01019,John Cockerill,John Cockerill India Limited
500148.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Packaging Companies,UFLEX,primary_local,INE516A01017,Uflex,UFLEX Limited
500150.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,FOSECOIND,primary_local,INE519A01011,Foseco India,Foseco India Limited
500151.BO,XBOM,FMCG CLUSTERS,Cigarettes & Tobacco,Cigarettes & Tobacco Products Companies,GOLDENTOBC,bse_security_id,INE973A01010,Golden Tobacco Limited,Golden Tobacco Ltd.
500153.BO,XBOM,"ENERGY, OIL & GAS",Oil Equip & Offshore,Oil Storage & Transportation Companies,GANESHBE,primary_local,INE388A01029,Ganesh Benzopl.,Ganesh Benzoplast Limited
500160.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom & Network Infra,Other Telecom Services Companies,GTL,bse_security_id,INE043A01012,GTL,GTL Ltd
500163.BO,XBOM,FMCG CLUSTERS,Cigarettes & Tobacco,Cigarettes & Tobacco Products Companies,GODFRYPHLP,primary_local,INE260B01028,Godfrey Phillips,Godfrey Phillips India Limited
500164.BO,XBOM,DIVERSIFIED & TRADING,Diversified Conglomerates,Diversified Companies,GODREJIND,primary_local,INE233A01035,Godrej Industrie,Godrej Industries Limited
500165.BO,XBOM,Const. & Materials,Paint Manufacturers,Paints Companies,KANSAINER,primary_local,INE531A01024,Kansai Nerolac,Kansai Nerolac Paints Limited
500166.BO,XBOM,Food & Beverages,Tea & Coffee,Tea & Coffee Companies,500166,primary_local,INE300A01016,Goodricke Group,Goodricke Group Ltd.
500168.BO,XBOM,AUTOMOTIVE COMPONENTS,Tyres & Wheels,Tyres & Rubber Products Companies,GOODYEAR,primary_local,INE533A01012,Goodyear India,Goodyear India Limited
500171.BO,XBOM,CHEMICALS & POLYMERS,Alkali Chemicals,Commodity Chemicals Companies,GHCL,primary_local,INE539A01019,GHCL,GHCL Limited
500173.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Holding Company Companies,GFLLIMITED,primary_local,INE538A01037,GFL,GFL Limited
500174.BO,XBOM,BANKING & FINANCIAL SERVICES,NBFC,Non Banking Financial Company (NBFC) Companies,GLFL,bse_security_id,INE540A01017,Gujarat Lease Financing Limited,Gujarat Lease Financing Limited
500179.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Enterprise Platforms,Computers Hardware & Equipments Companies,HCL-INSYS,primary_local,INE236A01020,HCL Infosystems,HCL Infosystems Limited
500180.BO,XBOM,BANKING & FINANCIAL SERVICES,Private Sector Bank,Private Sector Bank Companies,HDFCBANK,primary_local,INE040A01034,HDFC Bank,HDFC Bank Limited
500182.BO,XBOM,AUTOMOTIVE (STOCKS),2/3 Wheelers,2/3 Wheelers Companies,HEROMOTOCO,primary_local,INE158A01026,Hero Motocorp,Hero MotoCorp Limited
500183.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom & Network Infra,Telecom - Infrastructure Companies,HFCL,primary_local,INE548A01028,HFCL,HFCL Limited
500184.BO,XBOM,CHEMICALS & POLYMERS,Carbon Black,Carbon Black Companies,HSCL,primary_local,INE019C01026,Himadri Special,Himadri Speciality Chemical Limited
500185.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,HCC,primary_local,INE549A01026,Hind.Construct.,Hindustan Construction Company Limited
500186.BO,XBOM,"ENERGY, OIL & GAS",Upstream,Oil Exploration & Production Companies,HINDOILEXP,primary_local,INE345A01011,Hind.Oil Explor.,Hindustan Oil Exploration Company Limited
500187.BO,XBOM,FMCG CLUSTERS,Packaging and Containers,Packaging Companies,AGI,primary_local,INE415A01038,AGI Greenpac,AGI Greenpac Limited
500188.BO,XBOM,METALS & MINING,Aluminium & Base Metals,Zinc Companies,HINDZINC,primary_local,INE267A01025,Hindustan Zinc,Hindustan Zinc Limited
500189.BO,XBOM,BANKING & FINANCIAL SERVICES,PSU Infra Finance,Other Financial Services Companies,NDLVENTURE,primary_local,INE353A01023,NDL Ventures,NDL Ventures Limited
500191.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Products,Industrial Products Companies,HMT,bse_security_id,INE262A01018,HMT Limited,HMT Limited
500193.BO,XBOM,TRAVEL & HOSPITALITY,Premium Hotels & Resorts,Hotels & Resorts Companies,HLVLTD,primary_local,INE102A01024,HLV LIMITED,HLV LIMITED
500199.BO,XBOM,CHEMICALS & POLYMERS,Alkali Chemicals,Commodity Chemicals Companies,IGPL,primary_local,INE204A01010,I G Petrochems,IG Petrochemicals Limited
500201.BO,XBOM,Food & Beverages,Alcoholic Beverages,Breweries & Distilleries Companies,INDIAGLYCO,primary_local,INE560A01023,India Glycols,India Glycols Limited
500207.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,INDORAMA,primary_local,INE156A01020,Indo Rama Synthetics (India) Limited,Indo Rama Synthetics (India) Limited
500209.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,INFY,primary_local,INE009A01021,Infosys,Infosys Limited
500210.BO,XBOM,ENGINEERING & MANUFACTURING,Industrial Pumps & Compressors,"Compressors, Pumps & Diesel Engines Companies",INGERRAND,primary_local,INE177A01018,Ingersoll-Rand,Ingersoll Rand (India) Limited
500213.BO,XBOM,TRAVEL & HOSPITALITY,Tour & Travel Services,"Tour, Travel Related Services Companies",500213,primary_local,INE262B01016,Intl. Travel Hse,International Travel House Ltd
500214.BO,XBOM,Env & Sustainability,Water & Effluent Mgmt,Water Supply & Management Companies,IONEXCHANG,primary_local,INE570A01022,ION Exchange,ION Exchange (India) Limited
500215.BO,XBOM,Food & Beverages,Edible Oil,Edible Oil Companies,SUNDROP,primary_local,INE209A01019,Sundrop Brands,Sundrop Brands Limited
500219.BO,XBOM,Const. & Materials,Plastic Pipes,Plastic Products - Industrial Companies,JISLJALEQS,primary_local,INE175A01038,Jain Irrigation,Jain Irrigation Systems Limited
500227.BO,XBOM,FMCG CLUSTERS,Packaging Films,Packaging Companies,JINDALPOLY,primary_local,INE197D01010,Jindal Poly Film,Jindal Poly Films Limited
500228.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,JSWSTEEL,primary_local,INE019A01038,JSW Steel,JSW Steel Limited
500233.BO,XBOM,Const. & Materials,Tiles,Ceramics Companies,KAJARIACER,primary_local,INE217B01036,Kajaria Ceramics,Kajaria Ceramics Limited
500234.BO,XBOM,Const. & Materials,Cement,Cement & Cement Products Companies,KAKATCEM,primary_local,INE437B01014,Kakatiya Cement Sugar & Industries Limited,Kakatiya Cement Sugar & Industries Limited
500235.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,KSL,primary_local,INE907A01026,Kalyani Steels,Kalyani Steels Limited
500238.BO,XBOM,Consumer Durables,Household White Goods,Household Appliances Companies,WHIRLPOOL,primary_local,INE716A01013,Whirlpool India,Whirlpool of India Limited
500241.BO,XBOM,ENGINEERING & MANUFACTURING,Industrial Pumps & Compressors,"Compressors, Pumps & Diesel Engines Companies",KIRLOSBROS,primary_local,INE732A01036,Kirl. Brothers,Kirloskar Brothers Limited
500243.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Products,Other Industrial Products Companies,KIRLOSIND,primary_local,INE250A01039,Kirloskar Indus.,Kirloskar Industries Limited
500245.BO,XBOM,INDUSTRIAL COMPONENTRY,Castings & Forgings,Pig Iron Companies,KIRLFER,primary_local,INE884B01025,Kirl. Ferrous,Kirloskar Ferrous Industries Limited
500247.BO,XBOM,BANKING & FINANCIAL SERVICES,Private Sector Bank,Private Sector Bank Companies,KOTAKBANK,primary_local,INE237A01036,Kotak Mah. Bank,Kotak Mahindra Bank Limited
500249.BO,XBOM,ENGINEERING & MANUFACTURING,Industrial Pumps & Compressors,"Compressors, Pumps & Diesel Engines Companies",KSB,primary_local,INE999A01023,KSB,Ksb Limited
500250.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Products,Industrial Products Companies,LGBBROSLTD,primary_local,INE337A01034,LG Balakrishnan & Bros Limited,LG Balakrishnan & Bros Limited
500251.BO,XBOM,Lifestyle & Retail,Hypermarkets & Dept. Stores,Speciality Retail Companies,TRENT,primary_local,INE849A01020,Trent,Trent Limited
500252.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Products,Industrial Products Companies,LMW,primary_local,INE269B01029,LMW,LMW Limited
500253.BO,XBOM,BANKING & FINANCIAL SERVICES,Housing Finance,Housing Finance Company Companies,LICHSGFIN,primary_local,INE115A01026,LIC Housing Fin.,LIC Housing Finance Limited
500257.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,LUPIN,primary_local,INE326A01037,Lupin,Lupin Limited
500259.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,LYKALABS,bse_security_id,INE933A01014,Lyka Labs Limited,Lyka Labs Ltd.
500260.BO,XBOM,Const. & Materials,Cement,Cement & Cement Products Companies,RAMCOCEM,primary_local,INE331A01037,The Ramco Cement,The Ramco Cements Limited
500262.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,HYBRIDFIN,primary_local,INE965B01022,Hybrid Financial Services Limited,Hybrid Financial Services Limited
500265.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,MAHSEAMLES,primary_local,INE271B01025,Mah. Seamless,Maharashtra Seamless Limited
500266.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,MAHSCOOTER,primary_local,INE288A01013,Mah. Scooters,Maharashtra Scooters Limited
500268.BO,XBOM,CHEMICALS & POLYMERS,Polymers,Petrochemicals Companies,MANALIPETC,primary_local,INE201A01024,Manali Petrochem,Manali Petrochemicals Limited
500271.BO,XBOM,BANKING & FINANCIAL SERVICES,Life Insurance,Life Insurance Companies,MFSL,primary_local,INE180A01020,Max Financial,Max Financial Services Limited
500279.BO,XBOM,Consumer Durables,Consumer Electronics,Consumer Electronics Companies,MIRCELECTR,primary_local,INE831A01028,MIRC Electronics,MIRC Electronics Limited
500280.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,CENTENKA,primary_local,INE485A01015,Century Enka Limited,Century Enka Limited
500282.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,MODTHREAD,primary_local,INE794W01014,Modern Threads (India) Limited,Modern Threads (India) Limited
500284.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,LORDSCHLO,primary_local,INE846D01012,Lords Chloro Alkali Limited,Lords Chloro Alkali Limited
500285.BO,XBOM,TRAVEL & HOSPITALITY,Aviation & Airlines,Airline Companies,SPICEJET,bse_security_id,INE285B01017,SpiceJet,SpiceJet Limited
500288.BO,XBOM,Healthcare Segments,Pharma,Pharmaceuticals Companies,MOREPENLAB,primary_local,INE083A01026,Morepen Laboratories Limited,Morepen Laboratories Limited
500290.BO,XBOM,AUTOMOTIVE COMPONENTS,Tyres & Wheels,Tyres & Rubber Products Companies,MRF,primary_local,INE883A01011,MRF,MRF Limited
500292.BO,XBOM,Const. & Materials,Cement,Cement & Cement Products Companies,HEIDELBERG,primary_local,INE578A01017,Heidelberg Cem.,HeidelbergCement India Limited
500294.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,NCC,primary_local,INE868B01028,NCC,NCC Limited
500295.BO,XBOM,METALS & MINING,Diversified Metals (VEDL),Diversified Metals Companies,VEDL,primary_local,INE205A01025,Vedanta,Vedanta Limited
500296.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,NAHARSPING,primary_local,INE290A01027,Nahar Spinning Mills Limited,Nahar Spinning Mills Limited
500300.BO,XBOM,DIVERSIFIED & TRADING,Diversified Conglomerates,Cement & Cement Products Companies,GRASIM,primary_local,INE047A01021,Grasim Inds,Grasim Industries Limited
500304.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,NIITLTD,primary_local,INE161A01038,NIIT,NIIT Limited
500306.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Aerospace & Defense OEM,Aerospace & Defense Companies,JAYKAY,primary_local,INE903A01025,Jaykay Enter.,Jaykay Enterprises Limited
500307.BO,XBOM,PROFESSIONAL SERVICES,BPO & Specialized Services,Diversified Commercial Services Companies,500307,bse_code,INE910A01012,Nirlon,Nirlon Limited
500312.BO,XBOM,"ENERGY, OIL & GAS",Upstream,Oil Exploration & Production Companies,ONGC,primary_local,INE213A01029,O N G C,Oil & Natural Gas Corporation Limited
500313.BO,XBOM,"ENERGY, OIL & GAS",Oil Equip & Offshore,Oil Equipment & Services Companies,OILCOUNTUB,primary_local,INE591A01010,Oil Country,Oil Country Tubular Limited
500314.BO,XBOM,TRAVEL & HOSPITALITY,Premium Hotels & Resorts,Hotels & Resorts Companies,ORIENTHOT,primary_local,INE750A01020,Oriental Hotels,Oriental Hotels Limited
500317.BO,XBOM,DIVERSIFIED & TRADING,General Trading & Dist.,Trading & Distributors Companies,OSWALAGRO,primary_local,INE142A01012,Oswal Agro Mills,Oswal Agro Mills Limited
500325.BO,XBOM,"ENERGY, OIL & GAS",Energy Conglomerate,Refineries & Marketing Companies,RELIANCE,primary_local,INE002A01018,Reliance Industries,Reliance Industries Limited
500327.BO,XBOM,Consumer Durables,Cons. Plastic Products,Plastic Products - Consumer Companies,PILITA,primary_local,INE600A01035,Pil Italica Life,PIL ITALICA LIFESTYLE LIMITED
500330.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,RAYMOND,primary_local,INE301A01014,Raymond Limited,Raymond Limited
500331.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,PIDILITIND,primary_local,INE318A01026,Pidilite Inds.,Pidilite Industries Limited
500333.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Rubber,Rubber Companies,PIXTRANS,primary_local,INE751B01018,Pix Transmission,Pix Transmissions Limited
500335.BO,XBOM,Const. & Materials,Cement,Cement & Cement Products Companies,BIRLACORPN,primary_local,INE340A01012,Birla Corpn.,Birla Corporation Limited
500336.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,SURYAROSNI,primary_local,INE335A01020,Surya Roshni,Surya Roshni Limited
500337.BO,XBOM,BANKING & FINANCIAL SERVICES,PSU Infra Finance,Other Financial Services Companies,PRIMESECU,primary_local,INE032B01021,Prime Securities,Prime Securities Limited
500338.BO,XBOM,Const. & Materials,Cement,Cement & Cement Products Companies,PRSMJOHNSN,primary_local,INE010A01011,Prism Johnson,Prism Johnson Limited
500339.BO,XBOM,CHEMICALS & POLYMERS,Carbon Black,Petrochemicals Companies,RAIN,primary_local,INE855B01025,Rain Industries,Rain Industries Limited
500342.BO,XBOM,Food & Beverages,Packaged & Processed Foods,Packaged Foods Companies,PRUDMOULI,primary_local,INE024D01016,Prudential Sugar Corporation Limited,Prudential Sugar Corporation Limited
500343.BO,XBOM,Real Estate Segments,Commercial & Diversified,Real Estate Companies,AMJLAND,primary_local,INE606A01024,Amj Land Holdings Limited,Amj Land Holdings Limited
500346.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Telecom & Network Infra,Telecom -  Equipment & Accessories Companies,500346,primary_local,INE609A01010,Punjab Commun.,Punjab Communications Limited
500350.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,RSWM,primary_local,INE611A01016,RSWM Limited,RSWM Limited
500354.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,RAJSREESUG,primary_local,INE562B01019,Rajshree Sugars & Chemicals Limited,Rajshree Sugars & Chemicals Limited
500355.BO,XBOM,Agri Business,Crop Protection,Pesticides & Agrochemicals Companies,RALLIS,primary_local,INE613A01020,Rallis India,Rallis India Limited
