Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
533239.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,PRAKASHSTL,primary_local,INE696K01024,Prakash Steelage Limited,Prakash Steelage Limited
533248.BO,XBOM,Logistics & Trans,Logistics Infra (Ports/Air),Port & Port services Companies,GPPL,primary_local,INE517F01014,Guj Pipavav Port,Gujarat Pipavav Port Limited
533252.BO,XBOM,BANKING & FINANCIAL SERVICES,Asset Management,Asset Management Company Companies,WELINV,primary_local,INE389K01018,Welspun Investments and Commercials Limited,Welspun Investments and Commercials Limited
533257.BO,XBOM,ENGINEERING & MANUFACTURING,Heavy Electrical Equip,Other Electrical Equipment Companies,WAAREEINDO,primary_local,INE866K01023,Indosolar Ltd,Indosolar Limited
533259.BO,XBOM,Healthcare Segments,Hospitals,Healthcare Service Provider Companies,SASTASUNDR,primary_local,INE019J01013,Sastasundar Ven.,Sastasundar Ventures Limited
533260.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,CPCAP,primary_local,INE521J01018,CP Capital Limited,CP Capital Limited
533262.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,RAMKY,primary_local,INE874I01013,Ramky Infrastructure Limited,Ramky Infrastructure Limited
533263.BO,XBOM,"ENERGY, OIL & GAS",Power Generation,Power Generation Companies,GREENPOWER,primary_local,INE999K01014,Orient Green,Orient Green Power Company Limited
533267.BO,XBOM,Lifestyle & Retail,Premium & Branded Apparel,Garments & Apparels Companies,CANTABIL,primary_local,INE068L01024,Cantabil Retail,Cantabil Retail India Limited
533268.BO,XBOM,Media & Leisure,Electronic Media & News,TV Broadcasting & Software Production Companies,533268,primary_local,INE351L01016,Sea TV Network,SEA TV Network Limited
533269.BO,XBOM,Env & Sustainability,Water & Effluent Mgmt,Water Supply & Management Companies,WABAG,primary_local,INE956G01038,Va Tech Wabag,VA Tech Wabag Limited
533270.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,BEDMUTHA,bse_security_id,INE844K01012,Bedmutha Industries Limited,Bedmutha Industries Limited
533271.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,ASHOKA,primary_local,INE442H01029,Ashoka Buildcon Limited,Ashoka Buildcon Limited
533272.BO,XBOM,DEFENSE & AEROSPACE SYSTEMS,Railways,Railway Wagons Companies,JWL,primary_local,INE209L01016,Jupiter Wagons,Jupiter Wagons Limited
533273.BO,XBOM,Real Estate Segments,Residential Projects,"Residential, Commercial Projects Companies",OBEROIRLTY,primary_local,INE093I01010,Oberoi Realty,Oberoi Realty Limited
533274.BO,XBOM,Real Estate Segments,Residential Projects,"Residential, Commercial Projects Companies",PRESTIGE,primary_local,INE811K01011,Prestige Estates,Prestige Estates Projects Limited
533275.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,SHAH,primary_local,INE482J01021,Shah Metacorp Limited,Shah Metacorp Limited
533278.BO,XBOM,METALS & MINING,Coal & Mining,Coal Companies,COALINDIA,primary_local,INE522F01014,Coal India,Coal India Limited
533282.BO,XBOM,METALS & MINING,Industrial Minerals,Industrial Minerals Companies,GRAVITA,primary_local,INE024L01027,Gravita India,Gravita India Limited
533284.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,RPPINFRA,primary_local,INE324L01013,R.P.P. Infra Projects Limited,R.P.P. Infra Projects Limited
533286.BO,XBOM,METALS & MINING,Industrial Minerals,Industrial Minerals Companies,MOIL,primary_local,INE490G01020,MOIL,MOIL Limited
533287.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,ZEELEARN,primary_local,INE565L01011,Zee Learn,Zee Learn Limited
533292.BO,XBOM,HEAVY CIVIL INFRASTRUCTURE,Broad EPC & Civil,Civil Construction Companies,A2ZINFRA,bse_security_id,INE619I01012,A2Z Infra Engineering Limited,A2Z Infra Engineering Limited
533293.BO,XBOM,ENGINEERING & MANUFACTURING,Industrial Pumps & Compressors,"Compressors, Pumps & Diesel Engines Companies",KIRLOSENG,primary_local,INE146L01010,Kirloskar Oil,Kirloskar Oil Engines Limited
533294.BO,XBOM,Food & Beverages,Alcoholic Beverages,Breweries & Distilleries Companies,RKDL,primary_local,INE722J01012,Ravi Kumar Distilleries Limited,Ravi Kumar Distilleries Limited
533295.BO,XBOM,BANKING & FINANCIAL SERVICES,Public Sector Bank,Public Sector Bank Companies,PSB,primary_local,INE608A01012,Pun. & Sind Bank,Punjab & Sind Bank
533296.BO,XBOM,Real Estate Segments,Commercial & Diversified,Real Estate Companies,FMNL,primary_local,INE360L01017,Future Market Networks Limited,Future Market Networks Limited
533298.BO,XBOM,ENGINEERING & MANUFACTURING,Heavy Electrical Equip,Other Electrical Equipment Companies,SURANASOL,primary_local,INE272L01022,Surana Solar Limited,Surana Solar Limited
533301.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,SHEKHAWATI,primary_local,INE268L01046,Shekhawati Industries Limited,Shekhawati Industries Limited
533302.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,KICL,primary_local,INE029L01018,Kalyani Invest.,Kalyani Investment Company Limited
533303.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Holding Company Companies,BFINVEST,primary_local,INE878K01010,BF Investment,BF Investment Limited
533306.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,SUMMITSEC,primary_local,INE519C01017,Summit Securitie,Summit Securities Limited
533316.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,STEL,primary_local,INE577L01016,STEL Holdings,Stel Holdings Limited
533317.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,OMKARCHEM,bse_security_id,INE474L01016,Omkar Speciality Chemicals Limited,OMKAR SPECIALITY CHEMICALS LIMITED
