Symbol,Exchange,Sector,Industry Group,Industry,Sub-Industry
600519,SSE,Consumer Staples,Food & Beverage,Beverage Manufacturing,Liquor
601318,SSE,Financials,Insurance,Life & Health Insurance,Multi-line Insurance
688981,SSE,Information Technology,Semiconductors,Semiconductor Manufacturing,Foundry
000001,SZSE,Financials,Banks,Commercial Banks,Joint-stock Banks
000858,SZSE,Consumer Staples,Food & Beverage,Beverage Manufacturing,Liquor
300750,SZSE,Industrials,Electrical Equipment,Battery Manufacturing,Lithium Batteries
920118,BJSE,Consumer Discretionary,Textiles,Textile Manufacturing,Home Textiles
